Índice,NomDepartamento,Año,NumMes,Día,NomClaseAccidente,NomCausaAcc,NomCondMeteorologica,NomDia,NomGeometriaAcc,terreno,secc_tip,n_victimas,n_muertos,n_heridos,Festividad
"948,Antioquia,2017,2,22,Choque,Sin causa especifica,Normal,miercoles,Curva Izquierda,Montañoso,Media ladera Izquierda,"""",0,0,0"
950,Antioquia,2019,2,14,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,0,0,0,0
"952,Antioquia,2017,6,21,Atropello,Sin causa especifica,Normal,miercoles,Curva Derecha,Plano,Terraplen,"""",0,1,0"
"954,Antioquia,2017,2,15,Choque,Sin causa especifica,Lluvia,miercoles,Curva Derecha,Plano,Media Ladera Derecha,"""",0,2,0"
"957,Antioquia,2017,2,16,Atropello,Sin causa especifica,Normal,jueves,Recta,Plano,Media Ladera Derecha,"""",0,1,0"
"962,Antioquia,2017,2,14,Choque,Sin causa especifica,Normal,martes,Curva Derecha,Montañoso,Media Ladera Derecha,"""",0,1,0"
"974,Antioquia,2017,8,16,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,1,1"
978,Antioquia,2019,2,17,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,1,0,1,0
"983,Antioquia,2017,8,26,Choque,Sin causa especifica,Lluvia,sabado,Curva Izquierda,Ondulado,Media ladera Izquierda,"""",0,0,0"
"990,Antioquia,2017,12,23,Choque,Sin causa especifica,Normal,sabado,Recta,Plano,Terraplen,"""",0,0,0"
"991,Antioquia,2017,8,3,Choque,Sin causa especifica,Normal,jueves,Curva Derecha,Montañoso,Media Ladera Derecha,"""",0,1,0"
"1016,Antioquia,2017,2,20,Volcamiento,Sin causa especifica,Normal,lunes,Curva Izquierda,Ondulado,Media ladera Izquierda,"""",0,0,0"
"1022,Antioquia,2017,8,20,Choque,Sin causa especifica,Normal,domingo,Curva Derecha,Montañoso,Media Ladera Derecha,"""",0,0,1"
"1027,Antioquia,2017,8,16,Caída ocupante,Sin causa especifica,Lluvia,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,1,1"
"1031,Antioquia,2017,2,12,Choque,Sin causa especifica,Normal,domingo,Curva Izquierda,Ondulado,Media ladera Izquierda,"""",0,2,0"
"1034,Antioquia,2018,3,26,Choque,Sin causa especifica,Lluvia,lunes,Recta,Montañoso,Cajón,"""",0,0,0"
"1035,Antioquia,2017,3,17,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,0,0"
"1038,Antioquia,2017,10,13,Caída ocupante,Sin causa especifica,Normal,viernes,Curva Izquierda,Montañoso,Media ladera Izquierda,"""",0,1,1"
"1040,Antioquia,2017,2,21,Choque,Sin causa especifica,Niebla,martes,Curva Derecha,Montañoso,Media Ladera Derecha,"""",0,1,0"
"1042,Antioquia,2017,2,16,Choque,Sin causa especifica,Lluvia,jueves,Curva Derecha,Montañoso,Media ladera Izquierda,"""",0,0,0"
"1044,Antioquia,2018,2,19,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1047,Antioquia,2017,12,12,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"1051,Antioquia,2018,1,10,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"1055,Antioquia,2018,2,25,Caída ocupante,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1057,Antioquia,2018,2,12,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"1058,Antioquia,2017,7,12,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",1,2,0"
"1059,Antioquia,2018,1,7,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,"""",0,3,1"
"1062,Antioquia,2017,2,3,Choque,Sin causa especifica,Normal,viernes,Recta,Plano,Media ladera Izquierda,"""",0,1,0"
"1071,Antioquia,2018,2,19,Choque,Sin causa especifica,Normal,lunes,Curva Izquierda,Montañoso,Media ladera Izquierda,"""",0,0,0"
"1074,Antioquia,2018,3,3,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1075,Antioquia,2016,12,17,Atropello,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media Ladera Derecha,"""",0,0,0"
"1078,Antioquia,2017,9,29,Choque,Sin causa especifica,Normal,viernes,Curva Derecha,Montañoso,Media ladera Izquierda,"""",0,0,0"
"1085,Antioquia,2018,2,2,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"1086,Antioquia,2018,2,26,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,0,0"
"1087,Antioquia,2018,2,9,Choque,Sin causa especifica,Normal,viernes,Curva Izquierda,Montañoso,Media ladera Izquierda,"""",0,0,0"
"1088,Antioquia,2018,2,10,Caída ocupante,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1092,Antioquia,2018,2,3,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1093,Antioquia,2018,3,1,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1096,Antioquia,2018,2,15,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"1097,Antioquia,2017,12,22,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1101,Antioquia,2018,1,30,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1103,Antioquia,2018,3,6,Choque,Sin causa especifica,Normal,martes,Curva Derecha,Montañoso,Media ladera Izquierda,"""",0,0,0"
"1106,Antioquia,2018,3,6,Choque,Sin causa especifica,Normal,martes,Curva Derecha,Montañoso,Media ladera Izquierda,"""",0,1,0"
1107,Antioquia,2018,12,23,Choque,Sin causa especifica,Normal,domingo,Curva Derecha,Ondulado,Media ladera Izquierda,0,0,0,0
"1108,Antioquia,2018,1,31,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,0,0"
"1109,Antioquia,2017,12,21,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
1110,Antioquia,2019,1,24,Choque,Sin causa especifica,Niebla,jueves,Curva Derecha,Ondulado,Media ladera Izquierda,0,0,0,0
"1112,Antioquia,2017,7,24,Choque,Sin causa especifica,Normal,lunes,Recta,Escarpado,Media ladera Izquierda,"""",0,2,0"
"1115,Antioquia,2018,3,19,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1118,Antioquia,2018,1,31,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1122,Antioquia,2018,3,12,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1123,Antioquia,2018,1,27,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",2,0,0"
"1125,Antioquia,2018,1,4,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,0,0"
"1126,Antioquia,2018,1,9,Choque,Sin causa especifica,Lluvia,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,0,0"
"1131,Antioquia,2018,3,6,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1132,Antioquia,2018,2,1,Choque,Sin causa especifica,Normal,jueves,Curva Izquierda,Montañoso,Media ladera Izquierda,"""",0,0,0"
"1133,Antioquia,2017,12,20,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1134,Antioquia,2017,12,20,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1136,Antioquia,2017,12,20,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1137,Antioquia,2017,12,17,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"1138,Antioquia,2018,3,27,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1139,Antioquia,2018,3,4,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"1140,Antioquia,2018,3,21,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1141,Antioquia,2018,3,10,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,0,0"
"1142,Antioquia,2018,1,24,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1145,Antioquia,2017,12,12,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1146,Antioquia,2016,12,16,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,0,0"
"1149,Antioquia,2016,12,8,Choque,Sin causa especifica,Niebla,jueves,Recta,Montañoso,Media Ladera Derecha,"""",0,0,1"
"1152,Antioquia,2017,12,29,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,0,0"
"1156,Antioquia,2017,12,31,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1157,Antioquia,2018,3,10,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media Ladera Derecha,"""",0,2,0"
"1162,Antioquia,2017,12,2,Caída ocupante,Sin causa especifica,Lluvia,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"1163,Antioquia,2018,3,3,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1168,Antioquia,2018,3,22,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"1169,Antioquia,2016,12,2,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"1173,Antioquia,2018,1,7,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,"""",0,2,1"
"1174,Antioquia,2017,2,3,Choque,Sin causa especifica,Normal,viernes,Recta,Plano,Media ladera Izquierda,"""",0,1,0"
"1175,Antioquia,2017,12,26,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1178,Antioquia,2018,3,26,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1198,Antioquia,2017,12,9,Caída ocupante,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,1,1"
"1201,Antioquia,2018,1,2,Caída ocupante,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1205,Antioquia,2016,12,2,Choque,Sin causa especifica,Lluvia,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
1228,Antioquia,2018,8,8,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,1,0,1,0
"1232,Antioquia,2016,12,7,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media Ladera Derecha,"""",0,0,1"
"1239,Antioquia,2018,1,6,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,1,1"
"1246,Antioquia,2016,12,13,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
1251,Antioquia,2018,11,6,Choque,Sin causa especifica,Normal,martes,Recta,Plano,Terraplen,1,0,1,1
"1253,Antioquia,2017,6,12,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,0,0"
"1254,Antioquia,2017,9,30,Choque,Sin causa especifica,Lluvia,sabado,Recta,Plano,Terraplen,"""",0,1,0"
"1256,Antioquia,2017,11,24,Choque,Sin causa especifica,Normal,viernes,Recta,Plano,Terraplen,"""",0,0,0"
"1259,Antioquia,2018,3,5,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"1261,Antioquia,2017,6,9,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1262,Antioquia,2017,11,27,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,0,0"
"1270,Antioquia,2017,10,22,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"1271,Antioquia,2017,8,13,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,"""",0,2,1"
"1277,Antioquia,2017,8,5,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1279,Antioquia,2017,8,8,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1290,Antioquia,2017,9,1,Atropello,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"1291,Antioquia,2017,8,8,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,0,0"
1297,Antioquia,2019,1,20,Choque,Sin causa especifica,Normal,domingo,Curva Derecha,Montañoso,Media ladera Izquierda,0,0,0,0
"1300,Antioquia,2017,2,16,Choque,Sin causa especifica,Normal,jueves,Recta,Plano,Media ladera Izquierda,"""",0,1,0"
"1317,Antioquia,2017,7,6,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1329,Antioquia,2017,6,18,Atropello,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,"""",0,3,0"
1332,Antioquia,2018,11,4,Choque,Sin causa especifica,Normal,domingo,Recta,Plano,Terraplen,0,0,0,1
1334,Antioquia,2018,11,28,Choque,Sin causa especifica,Normal,miercoles,Curva Izquierda,Ondulado,Media ladera Izquierda,0,0,0,0
1336,Antioquia,2018,8,30,Choque,Sin causa especifica,Normal,jueves,Curva Izquierda,Montañoso,Media ladera Izquierda,0,0,0,0
"1347,Antioquia,2017,6,3,Caída ocupante,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
1354,Antioquia,2018,11,27,Choque,Sin causa especifica,Normal,martes,Recta,Plano,Terraplen,0,0,0,0
1376,Antioquia,2018,11,23,Choque,Sin causa especifica,Normal,viernes,Curva Derecha,Montañoso,Media ladera Izquierda,0,0,0,0
"1377,Antioquia,2017,7,5,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,3,0"
1401,Antioquia,2018,11,8,Atropello,Sin causa especifica,Normal,jueves,Curva Izquierda,Montañoso,Media ladera Izquierda,1,1,0,0
1402,Antioquia,2018,11,5,Choque,Sin causa especifica,Lluvia,lunes,Recta,Ondulado,Media ladera Izquierda,0,0,0,1
"1410,Antioquia,2017,10,29,Choque,Sin causa especifica,Lluvia,domingo,Recta,Montañoso,Cajón,"""",0,2,0"
"1411,Antioquia,2017,6,15,Choque,Sin causa especifica,Normal,jueves,Curva Izquierda,Montañoso,Media ladera Izquierda,"""",0,0,0"
"1412,Antioquia,2017,7,13,Choque,Sin causa especifica,Normal,jueves,Curva Izquierda,Montañoso,Media ladera Izquierda,"""",0,0,0"
"1414,Antioquia,2017,4,14,Choque,Sin causa especifica,Lluvia,viernes,Recta,Plano,Terraplen,"""",0,0,0"
"1417,Antioquia,2017,6,11,Choque,Sin causa especifica,Normal,domingo,Curva Derecha,Plano,Media ladera Izquierda,"""",0,0,0"
1420,Antioquia,2019,3,7,Choque,Sin causa especifica,Normal,jueves,Curva Izquierda,Montañoso,Media ladera Izquierda,0,0,0,0
"1422,Antioquia,2017,6,24,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,2,1"
1428,Antioquia,2019,3,23,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,2,0,2,0
1429,Antioquia,2018,11,23,Choque,Sin causa especifica,Normal,viernes,Recta,Plano,Terraplen,0,0,0,0
"1431,Antioquia,2017,11,19,Choque,Sin causa especifica,Normal,domingo,Recta,Plano,Terraplen,"""",0,0,0"
1434,Antioquia,2018,8,6,Choque,Sin causa especifica,Normal,lunes,Recta,Plano,Terraplen,0,0,0,0
1439,Antioquia,2018,11,21,Atropello,Sin causa especifica,Normal,miercoles,Curva Derecha,Montañoso,Media ladera Izquierda,1,1,0,0
"1442,Antioquia,2017,6,23,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,1"
"1450,Antioquia,2017,6,16,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
1453,Antioquia,2018,8,10,Volcamiento,Sin causa especifica,Normal,viernes,Curva Derecha,Montañoso,Media ladera Izquierda,2,0,2,0
"1455,Antioquia,2017,6,17,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"1459,Antioquia,2017,12,12,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1466,Antioquia,2017,1,28,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1468,Antioquia,2017,1,19,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1469,Antioquia,2017,7,20,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1470,Antioquia,2017,1,20,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1473,Antioquia,2017,1,26,Choque,Sin causa especifica,Normal,jueves,Curva Derecha,Montañoso,Media Ladera Derecha,"""",0,1,0"
1474,Antioquia,2018,8,3,Choque,Sin causa especifica,Normal,viernes,Curva Derecha,Montañoso,Media Ladera Derecha,0,0,0,0
"1478,Antioquia,2017,9,23,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1479,Antioquia,2017,1,30,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media Ladera Derecha,"""",0,0,0"
"1480,Antioquia,2017,9,26,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1481,Antioquia,2017,5,18,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1484,Antioquia,2017,5,19,Choque,Sin causa especifica,Normal,viernes,Curva Derecha,Montañoso,Media ladera Izquierda,"""",0,0,0"
"1485,Antioquia,2017,1,27,Choque,Sin causa especifica,Normal,viernes,Curva Derecha,Montañoso,Media ladera Izquierda,"""",0,4,0"
"1486,Antioquia,2017,9,15,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",1,0,0"
"1487,Antioquia,2017,7,29,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,2,1"
"1488,Antioquia,2017,9,7,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1489,Antioquia,2017,1,17,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1490,Antioquia,2017,6,1,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"1491,Antioquia,2017,5,21,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,"""",0,3,0"
"1492,Antioquia,2017,5,26,Caída ocupante,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
1493,Antioquia,2018,8,23,Choque,Sin causa especifica,Lluvia,jueves,Curva Derecha,Ondulado,Media ladera Izquierda,0,0,0,0
"1494,Antioquia,2017,9,25,Caída ocupante,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"1495,Antioquia,2017,1,24,Caída ocupante,Sin causa especifica,Normal,martes,Curva Derecha,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1497,Antioquia,2017,8,19,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,1,1"
"1498,Antioquia,2017,5,24,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1499,Antioquia,2017,1,28,Choque,Sin causa especifica,Normal,sabado,Curva Derecha,Montañoso,Media Ladera Derecha,"""",0,1,0"
"1500,Antioquia,2017,9,10,Atropello,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,"""",1,1,0"
"1502,Antioquia,2017,9,15,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,0,0"
"1503,Antioquia,2017,6,8,Atropello,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1504,Antioquia,2017,1,31,Choque,Sin causa especifica,Normal,martes,Curva Izquierda,Montañoso,Media Ladera Derecha,"""",0,0,0"
"1506,Antioquia,2017,5,12,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",1,0,0"
"1508,Antioquia,2017,7,21,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1510,Antioquia,2017,7,26,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,1,1"
"1513,Antioquia,2017,8,11,Choque,Sin causa especifica,Normal,viernes,Recta,Plano,Terraplen,"""",0,0,1"
"1514,Antioquia,2017,1,12,Choque,Sin causa especifica,Normal,jueves,Curva Izquierda,Montañoso,Media Ladera Derecha,"""",0,0,0"
"1515,Antioquia,2017,9,1,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1516,Antioquia,2017,9,23,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
1517,Antioquia,2018,8,23,No determinado,Sin causa especifica,Normal,jueves,Curva Izquierda,Montañoso,Media ladera Izquierda,0,0,0,0
1519,Antioquia,2019,1,9,Volcamiento,Sin causa especifica,Normal,miercoles,Curva Derecha,Montañoso,Media ladera Izquierda,1,1,0,0
"1520,Antioquia,2017,10,15,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,"""",0,1,1"
"1522,Antioquia,2017,9,6,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1524,Antioquia,2017,9,20,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1526,Antioquia,2017,8,22,Caída ocupante,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1527,Antioquia,2017,10,6,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,2,1"
"1528,Antioquia,2017,9,12,Choque,Sin causa especifica,Lluvia,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"1529,Antioquia,2017,10,19,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"1530,Antioquia,2017,8,24,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media Ladera Derecha,"""",0,0,0"
"1532,Antioquia,2017,1,14,Choque,Sin causa especifica,Normal,sabado,Curva Derecha,Montañoso,Media Ladera Derecha,"""",0,1,0"
"1534,Antioquia,2017,7,26,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,1,1"
"1535,Antioquia,2017,8,9,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1538,Antioquia,2017,9,4,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1539,Antioquia,2017,10,16,Atropello,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,3,1"
"1540,Antioquia,2017,6,28,Caída ocupante,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1541,Antioquia,2017,1,12,Caída ocupante,Sin causa especifica,Normal,jueves,Curva Izquierda,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1542,Antioquia,2017,8,6,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1543,Antioquia,2017,10,7,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,1,1"
"1544,Antioquia,2017,9,1,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1545,Antioquia,2017,9,2,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
1547,Antioquia,2018,8,4,Choque,Sin causa especifica,Normal,sabado,Recta,Ondulado,Terraplen,1,0,1,0
"1549,Antioquia,2017,9,4,Caída ocupante,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1550,Antioquia,2017,8,25,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1551,Antioquia,2017,9,18,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"1553,Antioquia,2017,10,10,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,3,1"
"1554,Antioquia,2017,10,10,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,2,1"
"1557,Antioquia,2017,9,18,Atropello,Sin causa especifica,Lluvia,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1558,Antioquia,2017,6,6,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"1559,Antioquia,2017,8,24,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1560,Antioquia,2017,9,11,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"1562,Antioquia,2017,9,21,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1565,Antioquia,2017,9,22,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"1566,Antioquia,2017,1,14,Choque,Sin causa especifica,Normal,sabado,Curva Derecha,Montañoso,Media ladera Izquierda,"""",1,1,0"
