Índice,NomDepartamento,Año,NumMes,Día,NomClaseAccidente,NomCausaAcc,NomCondMeteorologica,NomDia,NomGeometriaAcc,terreno,secc_tip,n_victimas,n_muertos,n_heridos,Festividad
"87,Antioquia,2017,6,15,Choque,Sin causa especifica,Normal,jueves,Curva Izquierda,Ondulado,Media ladera Izquierda,"""",0,0,0"
"90,Antioquia,2018,2,7,Volcamiento,Sin causa especifica,Normal,miercoles,Curva Izquierda,Plano,Media ladera Izquierda,"""",0,1,0"
"91,Antioquia,2017,5,29,Choque,Sin causa especifica,Normal,lunes,Curva Izquierda,Plano,Media Ladera Derecha,"""",0,1,0"
"94,Antioquia,2017,5,17,Choque,Sin causa especifica,Normal,miercoles,Recta,Ondulado,Media Ladera Derecha,"""",0,2,0"
"96,Antioquia,2017,4,10,Choque,Sin causa especifica,Normal,lunes,Curva Derecha,Ondulado,Media Ladera Derecha,"""",0,0,0"
"97,Antioquia,2017,6,21,Choque,Sin causa especifica,Normal,miercoles,Curva Derecha,Ondulado,Media ladera Izquierda,"""",0,0,0"
"98,Antioquia,2017,12,24,Choque,Sin causa especifica,Normal,domingo,Curva Derecha,Ondulado,Media Ladera Derecha,"""",0,0,0"
"99,Antioquia,2017,8,2,Choque,Sin causa especifica,Seca,miercoles,Recta,Plano,Media Ladera Derecha,"""",0,0,0"
"101,Antioquia,2017,12,14,Choque,Sin causa especifica,Lluvia,jueves,Curva Derecha,Ondulado,Media Ladera Derecha,"""",0,0,0"
110,Antioquia,2018,7,31,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,1,0,1,0
112,Antioquia,2019,2,11,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,0,0,0,0
"114,Antioquia,2017,9,9,Volcamiento,Sin causa especifica,Lluvia,sabado,Curva Izquierda,Plano,Media ladera Izquierda,"""",0,1,0"
116,Antioquia,2018,4,18,Choque,Sin causa especifica,Normal,miercoles,Curva Derecha,Montañoso,Media Ladera Derecha,0,0,0,0
"117,Antioquia,2017,3,7,Choque,Sin causa especifica,Normal,martes,Curva Derecha,Montañoso,Media Ladera Derecha,"""",0,0,0"
"121,Antioquia,2017,3,4,Choque,Sin causa especifica,Normal,sabado,Curva Derecha,Plano,Media ladera Izquierda,"""",0,1,0"
123,Antioquia,2018,7,14,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,2,0,2,0
"132,Antioquia,2017,10,6,Choque,Sin causa especifica,Normal,viernes,Curva Izquierda,Plano,Media ladera Izquierda,"""",0,0,1"
"133,Antioquia,2017,8,10,Choque,Sin causa especifica,Seca,jueves,Curva Izquierda,Plano,Media ladera Izquierda,"""",0,1,0"
"134,Antioquia,2017,2,9,Caída ocupante,Sin causa especifica,Normal,jueves,Recta,Plano,Media ladera Izquierda,"""",0,1,0"
136,Antioquia,2018,5,5,Choque,Sin causa especifica,Normal,sabado,Curva Derecha,Ondulado,Media Ladera Derecha,0,0,0,0
"139,Antioquia,2017,2,3,Atropello,Sin causa especifica,Niebla,viernes,Recta,Ondulado,Terraplen,"""",0,1,0"
"147,Antioquia,2017,11,25,Choque,Sin causa especifica,Normal,sabado,Recta,Ondulado,Media Ladera Derecha,"""",0,0,0"
"149,Antioquia,2017,11,18,Choque,Sin causa especifica,Lluvia,sabado,Recta,Ondulado,Media Ladera Derecha,"""",0,0,0"
150,Antioquia,2018,7,28,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,1,0,1,1
155,Antioquia,2018,7,24,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,1,0,1,0
157,Antioquia,2019,2,12,Choque,Sin causa especifica,Lluvia,martes,Curva Derecha,Ondulado,Media ladera Izquierda,1,0,1,0
159,Antioquia,2018,7,26,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,1,0,1,1
160,Antioquia,2018,7,29,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,1,0,1,1
"161,Antioquia,2017,11,5,Choque,Sin causa especifica,Normal,domingo,Recta,Ondulado,Media ladera Izquierda,"""",0,0,1"
163,Antioquia,2018,7,29,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,0,0,0,1
164,Antioquia,2018,7,29,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,1,0,1,1
"172,Antioquia,2017,11,29,Choque,Sin causa especifica,Normal,miercoles,Recta,Plano,Media ladera Izquierda,"""",0,0,0"
174,Antioquia,2018,7,16,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,1,0,1,0
184,Antioquia,2019,2,16,Choque,Sin causa especifica,Normal,sabado,Curva Izquierda,Montañoso,Media ladera Izquierda,0,0,0,0
189,Antioquia,2018,7,22,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,1,0,1,0
190,Antioquia,2014,4,20,Choque,Sin causa especifica,Lluvia,domingo,Curva Derecha,Montañoso,Media Ladera Derecha,2,0,2,0
196,Antioquia,2018,7,16,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,0,0,0,0
"208,Antioquia,2017,4,2,Choque,Sin causa especifica,Lluvia,domingo,Curva Derecha,Ondulado,Media Ladera Derecha,"""",0,0,0"
"212,Antioquia,2017,1,5,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,2,1"
213,Antioquia,2018,5,30,Volcamiento,Sin causa especifica,Normal,miercoles,Curva Izquierda,Montañoso,Media ladera Izquierda,0,0,0,0
214,Antioquia,2018,5,24,Choque,Sin causa especifica,Lluvia,jueves,Curva Derecha,Montañoso,Media ladera Izquierda,1,0,1,0
"215,Antioquia,2017,4,6,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"218,Antioquia,2017,2,22,Choque,Sin causa especifica,Normal,miercoles,Recta,Plano,Media ladera Izquierda,"""",0,0,0"
"222,Antioquia,2017,3,23,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
223,Antioquia,2019,2,8,Atropello,Sin causa especifica,Normal,viernes,Curva Izquierda,Montañoso,Media ladera Izquierda,1,1,0,0
227,Antioquia,2019,2,8,Volcamiento,Sin causa especifica,Normal,viernes,Curva Derecha,Ondulado,Media ladera Izquierda,0,0,0,0
229,Antioquia,2019,2,4,Choque,Sin causa especifica,Normal,lunes,Curva Derecha,Montañoso,Media ladera Izquierda,0,0,0,0
231,Antioquia,2019,2,7,Choque,Sin causa especifica,Normal,jueves,Curva Izquierda,Ondulado,Media ladera Izquierda,1,0,1,0
233,Antioquia,2019,2,14,Choque,Sin causa especifica,Normal,jueves,Curva Izquierda,Montañoso,Media ladera Izquierda,0,0,0,0
"235,Antioquia,2017,2,27,Choque,Sin causa especifica,Normal,lunes,Curva Izquierda,Montañoso,Media Ladera Derecha,"""",0,0,0"
"238,Antioquia,2017,3,26,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media Ladera Derecha,"""",0,4,0"
"243,Antioquia,2017,4,4,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,2,0"
"244,Antioquia,2017,4,3,Choque,Sin causa especifica,Normal,lunes,Curva Izquierda,Montañoso,Media ladera Izquierda,"""",0,2,0"
"245,Antioquia,2017,4,4,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"246,Antioquia,2017,3,27,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"249,Antioquia,2017,4,4,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
250,Antioquia,2019,2,26,Choque,Sin causa especifica,Normal,martes,Recta,Plano,Terraplen,1,0,1,0
251,Antioquia,2019,1,24,Choque,Sin causa especifica,Normal,jueves,Curva Izquierda,Ondulado,Media ladera Izquierda,0,0,0,0
"252,Antioquia,2017,4,4,Choque,Sin causa especifica,Normal,martes,Curva Derecha,Montañoso,Media ladera Izquierda,"""",0,0,0"
"254,Antioquia,2017,2,20,Choque,Sin causa especifica,Normal,lunes,Recta,Plano,Media ladera Izquierda,"""",0,0,0"
255,Antioquia,2019,2,2,Choque,Sin causa especifica,Normal,sabado,Curva Izquierda,Plano,Terraplen,0,0,0,0
256,Antioquia,2019,2,9,Atropello,Sin causa especifica,Normal,sabado,Recta,Plano,Terraplen,1,1,0,0
