Índice,Año,NumMes,Día,NomDepartamento,NomClaseAccidente,NomCausaAcc,NomGeometriaAcc,terreno,secc_tip,n_muertos,n_heridos,Festividad
57,2018,2,1,Antioquia,Choque,Sin causa especifica,Curva Derecha,Montañoso,Media Ladera Derecha,0,1,0
58,2018,8,27,Quindío,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
59,2018,2,25,Norte de Santander,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
60,2018,8,1,Quindío,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media Ladera Derecha,0,0,0
61,2018,8,23,Casanare,Volcamiento,Sin causa especifica,Recta,Plano,Cajón,0,0,0
62,2018,8,18,Casanare,Choque,Sin causa especifica,Curva Derecha,Montañoso,Media Ladera Derecha,0,0,0
63,2018,8,14,Quindío,Choque,Sin causa especifica,Recta,Montañoso,Media Ladera Derecha,0,0,0
64,2017,10,13,Tolima,Choque,Sin causa especifica,Curva Derecha,Escarpado,Media ladera Izquierda,0,0,0
65,2017,4,16,Antioquia,Volcamiento,Sin causa especifica,Curva Izquierda,Ondulado,Media ladera Izquierda,0,0,0
66,2017,12,6,Antioquia,Choque,Sin causa especifica,Curva Derecha,Ondulado,Media Ladera Derecha,0,0,1
67,2017,7,27,Tolima,Choque,Sin causa especifica,Curva Derecha,Montañoso,Media Ladera Derecha,0,0,0
68,2017,12,22,Antioquia,Volcamiento,Sin causa especifica,Curva Derecha,Ondulado,Media ladera Izquierda,0,0,0
69,2018,8,2,Quindío,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
70,2018,8,8,Boyacá,Choque,Sin causa especifica,Curva Derecha,Ondulado,Media Ladera Derecha,0,0,0
71,2018,8,14,Quindío,Choque,Sin causa especifica,Curva Derecha,Montañoso,Media ladera Izquierda,0,2,0
72,2017,11,15,Tolima,Choque,Sin causa especifica,Curva Izquierda,Escarpado,Media ladera Izquierda,0,0,0
73,2018,8,29,Casanare,Volcamiento,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,0,12,0
74,2018,8,29,Casanare,Choque,Sin causa especifica,Curva Derecha,Montañoso,Media Ladera Derecha,0,0,0
75,2018,8,29,Casanare,Salida de la vía sin volcarse,Sin causa especifica,Curva Derecha,Montañoso,Media Ladera Derecha,0,0,0
76,2018,2,19,Norte de Santander,Volcamiento,Sin causa especifica,Curva Derecha,Montañoso,Media Ladera Derecha,0,0,0
77,2017,12,27,Antioquia,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,1,0
78,2017,12,5,Antioquia,Choque,Sin causa especifica,Recta,Ondulado,Terraplen,0,0,0
79,2018,3,11,Norte de Santander,Atropello,Sin causa especifica,Recta,Plano,Terraplen,1,0,0
80,2017,5,9,Antioquia,Caída ocupante,Sin causa especifica,Recta,Plano,Media Ladera Derecha,1,0,0
81,2018,7,29,Norte de Santander,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,2,0
82,2019,2,22,Antioquia,Volcamiento,Sin causa especifica,Curva Izquierda,Ondulado,Media ladera Izquierda,0,0,0
83,2017,5,23,Antioquia,Choque,Sin causa especifica,Curva Izquierda,Ondulado,Media ladera Izquierda,0,0,0
84,2018,8,18,Boyacá,Choque,Sin causa especifica,Curva Derecha,Montañoso,Media Ladera Derecha,0,4,1
85,2019,2,18,Nariño,Choque,Sin causa especifica,Recta,Plano,Terraplen,1,0,0
86,2017,12,10,Antioquia,Choque,Sin causa especifica,Recta,Ondulado,Media ladera Izquierda,0,0,0
87,2017,6,15,Antioquia,Choque,Sin causa especifica,Curva Izquierda,Ondulado,Media ladera Izquierda,0,0,0
88,2018,8,3,Cauca,Caída ocupante,Sin causa especifica,Curva Izquierda,Ondulado,Media ladera Izquierda,0,1,0
89,2018,8,20,Norte de Santander,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
90,2018,2,7,Antioquia,Volcamiento,Sin causa especifica,Curva Izquierda,Plano,Media ladera Izquierda,0,1,0
91,2017,5,29,Antioquia,Choque,Sin causa especifica,Curva Izquierda,Plano,Media Ladera Derecha,0,1,0
92,2018,6,20,Quindío,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media Ladera Derecha,0,0,0
93,2018,8,16,Quindío,Choque,Sin causa especifica,Recta,Montañoso,Media Ladera Derecha,0,0,0
94,2017,5,17,Antioquia,Choque,Sin causa especifica,Recta,Ondulado,Media Ladera Derecha,0,2,0
95,2018,8,16,Quindío,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media Ladera Derecha,0,0,0
96,2017,4,10,Antioquia,Choque,Sin causa especifica,Curva Derecha,Ondulado,Media Ladera Derecha,0,0,0
97,2017,6,21,Antioquia,Choque,Sin causa especifica,Curva Derecha,Ondulado,Media ladera Izquierda,0,0,0
98,2017,12,24,Antioquia,Choque,Sin causa especifica,Curva Derecha,Ondulado,Media Ladera Derecha,0,0,0
99,2017,8,2,Antioquia,Choque,Sin causa especifica,Recta,Plano,Media Ladera Derecha,0,0,0
100,2018,8,14,Casanare,Volcamiento,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,0,0,0
101,2017,12,14,Antioquia,Choque,Sin causa especifica,Curva Derecha,Ondulado,Media Ladera Derecha,0,0,0
102,2018,8,10,Quindío,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
